Index Name,S&P/BMV Total Mexico Index (MXN) TR
4-Oct-19,131.4347939
3-Oct-19,128.4944827
2-Oct-19,127.7790727
1-Oct-19,129.8060358
30-Sep-19,130.011721
27-Sep-19,129.5108702
26-Sep-19,129.9407934
25-Sep-19,129.9440662
24-Sep-19,130.0740296
23-Sep-19,131.3041056
20-Sep-19,131.4315905
19-Sep-19,129.8841136
18-Sep-19,129.9199382
17-Sep-19,131.000663
13-Sep-19,129.4113042
12-Sep-19,128.8025144
11-Sep-19,129.0875303
10-Sep-19,128.5590867
9-Sep-19,128.7865207
6-Sep-19,128.9047016
5-Sep-19,128.9703868
4-Sep-19,127.8451617
3-Sep-19,126.1994892
2-Sep-19,126.9502226
30-Aug-19,128.3784587
29-Aug-19,126.118032
28-Aug-19,123.468354
27-Aug-19,122.6620496
26-Aug-19,120.926607
23-Aug-19,120.1371873
22-Aug-19,120.9399227
21-Aug-19,120.6801797
20-Aug-19,119.5325704
19-Aug-19,119.0906528
16-Aug-19,118.6316605
15-Aug-19,116.3578114
14-Aug-19,116.4549871
13-Aug-19,118.7033997
12-Aug-19,119.7233698
9-Aug-19,121.3634555
8-Aug-19,121.5438628
7-Aug-19,121.2673388
6-Aug-19,119.3892928
5-Aug-19,118.4619913
2-Aug-19,119.8033074
1-Aug-19,120.8764936
31-Jul-19,122.3343022
30-Jul-19,123.0560465
29-Jul-19,123.518248
26-Jul-19,121.7779972
25-Jul-19,122.589233
24-Jul-19,123.2282826
23-Jul-19,122.3725002
22-Jul-19,123.1814095
19-Jul-19,124.3141093
18-Jul-19,124.5036788
17-Jul-19,127.0577007
16-Jul-19,128.3190602
15-Jul-19,128.5718786
12-Jul-19,127.3851002
11-Jul-19,128.0301654
10-Jul-19,127.5868828
9-Jul-19,127.6169786
8-Jul-19,129.8417532
5-Jul-19,129.2034674
4-Jul-19,129.3699745
3-Jul-19,129.4270393
2-Jul-19,129.2558863
1-Jul-19,129.2664301
28-Jun-19,128.5522158
27-Jun-19,128.9936142
26-Jun-19,130.3815358
25-Jun-19,130.2941368
24-Jun-19,130.1760974
21-Jun-19,129.7624776
20-Jun-19,130.0411348
19-Jun-19,129.1822144
18-Jun-19,128.5789904
17-Jun-19,127.8318003
14-Jun-19,128.4219665
13-Jun-19,129.4158986
12-Jun-19,130.2509039
11-Jun-19,130.1159139
10-Jun-19,129.9130047
7-Jun-19,128.8109954
6-Jun-19,128.3968198
5-Jun-19,129.1273748
4-Jun-19,127.8825402
3-Jun-19,127.4063734
31-May-19,126.5233338
30-May-19,128.3202373
29-May-19,126.8614442
28-May-19,125.0947766
27-May-19,125.6595633
24-May-19,126.0193628
23-May-19,126.6181719
22-May-19,127.1179623
21-May-19,127.6430295
20-May-19,128.5463433
17-May-19,128.2404088
16-May-19,128.3099127
15-May-19,128.1553632
14-May-19,128.4226535
13-May-19,127.4819535
10-May-19,128.2347338
9-May-19,127.7883571
8-May-19,128.2891626
7-May-19,128.707614
6-May-19,130.4411172
3-May-19,130.7724441
2-May-19,130.7274086
30-Apr-19,131.5626489
29-Apr-19,132.1886336
26-Apr-19,132.3488274
25-Apr-19,132.4812863
24-Apr-19,132.448586
23-Apr-19,132.7301754
22-Apr-19,133.2379701
17-Apr-19,133.5923765
16-Apr-19,132.2668495
15-Apr-19,131.0823015
12-Apr-19,131.2589403
11-Apr-19,131.0504435
10-Apr-19,132.0543956
9-Apr-19,132.6832228
8-Apr-19,133.4374337
5-Apr-19,132.2376559
4-Apr-19,129.4249248
3-Apr-19,127.7557721
2-Apr-19,127.7409506
1-Apr-19,128.7059854
29-Mar-19,127.4766378
28-Mar-19,126.5163102
27-Mar-19,126.5743742
26-Mar-19,126.2730981
25-Mar-19,125.9688134
22-Mar-19,124.8396672
21-Mar-19,127.5433479
20-Mar-19,127.2223432
19-Mar-19,125.1037502
15-Mar-19,124.6185211
14-Mar-19,123.3576386
13-Mar-19,123.7717769
12-Mar-19,123.3732142
11-Mar-19,123.5805471
8-Mar-19,122.7709425
7-Mar-19,122.8435933
6-Mar-19,123.4472364
5-Mar-19,123.9140266
4-Mar-19,124.7171479
1-Mar-19,125.3652987
28-Feb-19,125.9842507
27-Feb-19,127.1605318
26-Feb-19,128.0598826
25-Feb-19,128.0811565
22-Feb-19,128.0183294
21-Feb-19,127.4852089
20-Feb-19,126.4224407
19-Feb-19,125.7884747
18-Feb-19,125.7075299
15-Feb-19,125.871279
14-Feb-19,124.998097
13-Feb-19,123.8304985
12-Feb-19,126.2398384
11-Feb-19,126.6985667
8-Feb-19,126.4751004
7-Feb-19,127.7952594
6-Feb-19,128.3928814
5-Feb-19,129.5260255
1-Feb-19,127.7811484
31-Jan-19,128.4513313
30-Jan-19,127.312116
29-Jan-19,127.4307939
28-Jan-19,127.2111976
25-Jan-19,127.2358237
24-Jan-19,126.9878283
23-Jan-19,127.1665602
22-Jan-19,127.3023013
21-Jan-19,128.3303481
18-Jan-19,128.8732007
17-Jan-19,127.9194425
16-Jan-19,127.6466988
15-Jan-19,126.9277538
14-Jan-19,126.496838
11-Jan-19,126.7545256
10-Jan-19,127.1139112
9-Jan-19,127.1020477
8-Jan-19,126.7784857
7-Jan-19,124.7359282
4-Jan-19,123.7321274
3-Jan-19,122.5525904
2-Jan-19,123.0318202
31-Dec-18,121.0646926
28-Dec-18,120.5523846
27-Dec-18,120.4140101
26-Dec-18,120.8585104
24-Dec-18,120.2792981
21-Dec-18,120.4815052
20-Dec-18,121.0708025
19-Dec-18,120.3004088
18-Dec-18,119.1691514
17-Dec-18,117.5393874
14-Dec-18,120.1947128
13-Dec-18,120.7763651
11-Dec-18,119.1362591
10-Dec-18,120.3191883
7-Dec-18,121.7548974
6-Dec-18,122.0032755
5-Dec-18,121.7333767
4-Dec-18,121.4969756
3-Dec-18,122.3378079
30-Nov-18,121.3754921
29-Nov-18,121.92592
28-Nov-18,119.6468967
27-Nov-18,115.9869062
26-Nov-18,114.971391
23-Nov-18,119.4087137
22-Nov-18,119.8899612
21-Nov-18,120.5890455
20-Nov-18,121.2948257
16-Nov-18,122.8156606
15-Nov-18,120.4609164
14-Nov-18,122.6592116
13-Nov-18,122.8437011
12-Nov-18,125.1339403
9-Nov-18,127.5495187
8-Nov-18,127.3238181
7-Nov-18,134.7326365
6-Nov-18,133.0737955
5-Nov-18,134.2645351
1-Nov-18,130.5181651
31-Oct-18,126.2519053
30-Oct-18,125.2990151
29-Oct-18,126.129542
26-Oct-18,131.6028807
25-Oct-18,132.8027571
24-Oct-18,131.9482698
23-Oct-18,133.3874642
22-Oct-18,134.7190669
19-Oct-18,136.1500593
18-Oct-18,135.1438957
17-Oct-18,137.6626552
16-Oct-18,138.4614757
15-Oct-18,137.1799153
12-Oct-18,136.4361721
11-Oct-18,136.7068975
10-Oct-18,138.1717883
9-Oct-18,139.3309803
8-Oct-18,138.2508406
5-Oct-18,138.1893791
4-Oct-18,139.8868869
3-Oct-18,140.8430725
2-Oct-18,141.8730378
1-Oct-18,143.0607974
28-Sep-18,142.0684568
27-Sep-18,142.4473762
26-Sep-18,142.3476464
25-Sep-18,142.4318554
24-Sep-18,141.8001274
21-Sep-18,141.5791292
20-Sep-18,142.1460078
19-Sep-18,142.4366032
18-Sep-18,142.5455152
17-Sep-18,141.8967189
14-Sep-18,142.5227243
13-Sep-18,142.7172319
12-Sep-18,141.5586438
11-Sep-18,140.5109014
10-Sep-18,140.4313648
7-Sep-18,140.7681838
6-Sep-18,140.0989555
5-Sep-18,139.7679169
4-Sep-18,140.5818306
3-Sep-18,142.2369849
31-Aug-18,142.3457244
30-Aug-18,142.5839179
29-Aug-18,144.1898577
28-Aug-18,143.803756
27-Aug-18,144.8717768
24-Aug-18,142.8295379
23-Aug-18,143.1257121
22-Aug-18,143.4151723
21-Aug-18,141.8223354
20-Aug-18,140.177351
17-Aug-18,138.8168847
16-Aug-18,138.1476718
15-Aug-18,139.406078
14-Aug-18,140.90852
13-Aug-18,140.0224554
10-Aug-18,138.9533574
9-Aug-18,141.4086372
8-Aug-18,143.219947
7-Aug-18,143.5247827
6-Aug-18,141.5983523
3-Aug-18,141.5601908
2-Aug-18,140.7527127
1-Aug-18,141.8514637
31-Jul-18,142.4877682
30-Jul-18,142.5360471
27-Jul-18,142.352902
26-Jul-18,141.8080569
25-Jul-18,142.3983747
24-Jul-18,142.0871139
23-Jul-18,140.7204067
20-Jul-18,140.8583643
19-Jul-18,140.2622343
18-Jul-18,140.9316342
17-Jul-18,140.0475922
16-Jul-18,139.3619191
13-Jul-18,139.1594875
12-Jul-18,139.9309435
11-Jul-18,140.6670264
10-Jul-18,140.7341013
9-Jul-18,141.4492726
6-Jul-18,140.7692221
5-Jul-18,139.5393896
4-Jul-18,136.1379038
3-Jul-18,135.4481957
2-Jul-18,134.4325337
29-Jun-18,137.1152256
28-Jun-18,135.2673785
27-Jun-18,134.7890264
26-Jun-18,134.8452996
25-Jun-18,134.3380438
22-Jun-18,134.1229316
21-Jun-18,133.3975587
20-Jun-18,134.3038564
19-Jun-18,133.4767621
18-Jun-18,133.9867897
15-Jun-18,134.7366844
14-Jun-18,135.3227285
13-Jun-18,134.1724192
12-Jun-18,133.9789909
11-Jun-18,133.03426
8-Jun-18,132.0095487
7-Jun-18,130.7399236
6-Jun-18,129.8315987
5-Jun-18,129.7166248
4-Jun-18,130.2474153
1-Jun-18,129.5557659
31-May-18,128.6046259
30-May-18,128.7206198
29-May-18,128.4262054
28-May-18,129.1821934
25-May-18,129.7825696
24-May-18,130.6713076
23-May-18,131.566726
22-May-18,130.9740394
21-May-18,130.0660201
18-May-18,130.9832188
17-May-18,131.48319
16-May-18,133.2212738
15-May-18,132.8318929
14-May-18,133.5599845
11-May-18,134.059139
10-May-18,133.6420579
9-May-18,132.7452291
8-May-18,133.7935987
7-May-18,133.1907897
4-May-18,134.750868
